renamed	dataset	sample_type
ABCS_04802	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04803	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04804	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04805	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04806	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04807	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04808	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04809	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04810	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04811	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04812	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04813	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04814	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04815	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04816	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04817	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04818	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04819	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04820	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04821	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04822	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04823	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04824	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04825	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04826	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04827	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04828	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04829	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04830	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04831	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04832	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04833	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04834	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04835	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04836	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04837	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04838	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04839	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04840	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04841	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04842	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04843	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04844	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04845	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04846	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04847	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04848	LAML_TARGET	Recurrent Blood Derived Cancer - Peripheral Blood
ABCS_04849	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04850	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04851	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04852	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04853	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04854	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04855	LAML_TARGET	Recurrent Blood Derived Cancer - Peripheral Blood
ABCS_04856	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04857	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04858	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04859	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04860	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04861	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04862	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04863	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_04864	LAML_TARGET	Recurrent Blood Derived Cancer - Bone Marrow
ABCS_03368	HRWT_TARGET	Recurrent Tumor
ABCS_03369	HRWT_TARGET	Primary Tumor
ABCS_03370	HRWT_TARGET	Primary Tumor
ABCS_03371	HRWT_TARGET	Primary Tumor
ABCS_03372	HRWT_TARGET	Recurrent Tumor
ABCS_03373	HRWT_TARGET	Primary Tumor
ABCS_03374	HRWT_TARGET	Recurrent Tumor
ABCS_03375	HRWT_TARGET	Primary Tumor
ABCS_03376	HRWT_TARGET	Primary Tumor
ABCS_03377	HRWT_TARGET	Primary Tumor
ABCS_03378	HRWT_TARGET	Primary Tumor
ABCS_03379	HRWT_TARGET	Primary Tumor
ABCS_03380	HRWT_TARGET	Primary Tumor
ABCS_03381	HRWT_TARGET	Primary Tumor
ABCS_03382	HRWT_TARGET	Primary Tumor
ABCS_03383	HRWT_TARGET	Primary Tumor
ABCS_03384	HRWT_TARGET	Primary Tumor
ABCS_03385	HRWT_TARGET	Primary Tumor
ABCS_03386	HRWT_TARGET	Primary Tumor
ABCS_03387	HRWT_TARGET	Primary Tumor
ABCS_03388	HRWT_TARGET	Primary Tumor
ABCS_03389	HRWT_TARGET	Primary Tumor
ABCS_03390	HRWT_TARGET	Primary Tumor
ABCS_03391	HRWT_TARGET	Primary Tumor
ABCS_03392	HRWT_TARGET	Primary Tumor
ABCS_03393	HRWT_TARGET	Primary Tumor
ABCS_03394	HRWT_TARGET	Primary Tumor
ABCS_03395	HRWT_TARGET	Primary Tumor
ABCS_03396	HRWT_TARGET	Primary Tumor
ABCS_03397	HRWT_TARGET	Primary Tumor
ABCS_03398	HRWT_TARGET	Primary Tumor
ABCS_03399	HRWT_TARGET	Primary Tumor
ABCS_03400	HRWT_TARGET	Recurrent Tumor
ABCS_03401	HRWT_TARGET	Primary Tumor
ABCS_03402	HRWT_TARGET	Primary Tumor
ABCS_03403	HRWT_TARGET	Primary Tumor
ABCS_03404	HRWT_TARGET	Primary Tumor
ABCS_03405	HRWT_TARGET	Primary Tumor
ABCS_03406	HRWT_TARGET	Recurrent Tumor
ABCS_03407	HRWT_TARGET	Primary Tumor
ABCS_03408	HRWT_TARGET	Primary Tumor
ABCS_03409	HRWT_TARGET	Primary Tumor
ABCS_03410	HRWT_TARGET	Primary Tumor
ABCS_03411	HRWT_TARGET	Primary Tumor
ABCS_03412	HRWT_TARGET	Primary Tumor
ABCS_03413	HRWT_TARGET	Primary Tumor
ABCS_03414	HRWT_TARGET	Primary Tumor
